,ts,th_limit,budget,delta,rpq_occ,p,i,d,sp
30990,12.472010000000001,65,-1,0,0,8,16,0,1
30991,12.47226,65,-1,0,0,8,16,0,1
30992,12.4725,65,-1,0,0,8,16,0,1
30993,12.47275,65,-1,0,0,8,16,0,1
30994,12.47304,65,-1,0,0,8,16,0,1
30995,12.473289999999999,65,-1,0,0,8,16,0,1
30996,12.47354,65,-1,0,0,8,16,0,1
30997,12.47379,65,-1,0,0,8,16,0,1
30998,12.47403,65,-1,0,0,8,16,0,1
30999,12.47428,65,-1,0,0,8,16,0,1
31000,12.47453,65,-1,0,0,8,16,0,1
31001,12.47478,65,-1,0,0,8,16,0,1
31002,12.47503,65,-1,0,0,8,16,0,1
31003,12.47528,65,-1,0,0,8,16,0,1
31004,12.475539999999999,65,-1,0,0,8,16,0,1
31005,12.47578,65,-1,0,0,8,16,0,1
31006,12.47603,65,-1,0,0,8,16,0,1
31007,12.47627,65,-1,0,0,8,16,0,1
31008,12.476519999999999,64,-1,0,0,8,16,0,1
31009,12.47677,64,-1,0,0,8,16,0,1
31010,12.477030000000001,64,-1,0,0,8,16,0,1
31011,12.47728,64,-1,0,0,8,16,0,1
31012,12.47753,64,-1,0,0,8,16,0,1
31013,12.47777,64,-1,0,0,8,16,0,1
31014,12.478019999999999,64,-1,0,0,8,16,0,1
31015,12.4783,64,-1,0,0,8,16,0,1
31016,12.47855,64,-1,0,0,8,16,0,1
31017,12.4788,64,-1,0,0,8,16,0,1
31018,12.47906,64,-1,0,0,8,16,0,1
31019,12.4793,64,-1,0,0,8,16,0,1
31020,12.47966,64,-1,0,0,8,16,0,1
31021,12.4799,64,-1,0,0,8,16,0,1
31022,12.48015,64,-1,0,0,8,16,0,1
31023,12.4804,64,-1,0,0,8,16,0,1
31024,12.48065,64,-1,0,0,8,16,0,1
31025,12.4809,64,-1,0,0,8,16,0,1
31026,12.48115,64,-1,0,0,8,16,0,1
31027,12.4814,64,-1,0,0,8,16,0,1
31028,12.48165,64,-1,0,0,8,16,0,1
31029,12.4819,64,-1,0,0,8,16,0,1
31030,12.48217,64,-1,0,0,8,16,0,1
