,_HP_LLC_MAX,_HP_LLC_MEAN,_HP_LLC_MIN,_HP_MB_MAX,_HP_MB_MEAN,_HP_MB_MIN,_LP_LLC_MAX,_LP_LLC_MEAN,_LP_LLC_MIN,_LP_MB_MAX,_LP_MB_MEAN,_LP_MB_MIN,hp_instance,lp_instance,hp_llc,lp_llc,hp_workload,lp_workload,hp_mba,lp_mba,score,socket_IDI_MISC.WB_UPGRADE,hp_core_MEM_LOAD_RETIRED.L3_HIT,hp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT,hp_core_IDI_MISC.WB_UPGRADE,hp_core_IDI_MISC.WB_DOWNGRADE,hp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM,lp_core_metric_L2 misses trigger SFBINV exclusive forward line,lp_core_metric_L2 misses trigger SFBINV mod line,hp_core_xnps_hit_to_miss,hp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS,lp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM,lp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT,system_metric_L3_hit_rate_pct,lp_core_metric_L2 % of L2 evictions that are NOT allocated into L3,system_metric_CHA % cyles Fast asserted,lp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS,hp_core_metric_L2 misses trigger SFBINV exclusive forward line,hp_core_metric_L2 misses trigger SFBINV mod line,hp_core_metric_L2 % of L2 evictions that are NOT allocated into L3,system_metric_memory bandwidth total (MB/sec),hp_core_metric_L2_hit_rate_pct,hp_core_metric_L3_hit_rate_pct,lp_core_metric_L2_hit_rate_pct,lp_core_metric_L3_hit_rate_pct,system_UNC_M_RPQ_OCCUPANCY,system_UNC_M_RPQ_INSERTS,system_UNC_M_WPQ_INSERTS,system_UNC_M_WPQ_OCCUPANCY,system_metric_memory WPQ write latency (ns),system_metric_memory RPQ read latency (cycle)
rdt4_521111specjbbstream10040.sh,35504,18773.795122,3472,1833.1,235.337439024,0,29120,19076.8780488,2240,29120,10915.8613415,0,4,52,11,1,specjbb,stream,100,40,10585.12,7443805.276535328,1596968.59667,635.902228782,3079299.07605,1519546.92167,28626.5589603,0.04222076247359999,0.031857690411,,302.005400475,13630.4588198,395.72701317,68.93044060133401,98.1378967853,24.70406444729119,295.120013217,0.0296959123069,0.0476614146003,28.668611904,48699.61936483603,54.890665727,65.4022434537,43.72909793149999,60.8544901562,55678186623.33038,516884655.7720152,241852865.0182979,92751264409.5334,617.3611067808857,115.4132811140088
rdt4_521111specjbbstream10050.sh,36064,18732.1023143,4144,1848.7,238.099390987,0,29344,19240.8087698,2576,29344,11349.9863581,0,4,52,11,1,specjbb,stream,100,50,11115.77,7645831.773306719,1753981.83109,718.0160522389999,3210439.1727,1525834.80898,32504.755867,0.04318001369219999,0.0317911372542,,257.49873684,12633.5235581,340.919898812,64.30157836367322,98.2037279847,24.9067468494764,243.018120476,0.0281487019655,0.0492700449278,28.1170944048,49049.78387961783,56.8355786709,66.98428731060001,45.86213647989999,54.0758625871,63012764533.42097,523781085.1086816,242652931.0131406,101122954649.9705,650.4012730410127,120.3036274598312
rdt4_521121specjbbstream10010.sh,32592,12678.5928659,4928,2624.6,1244.15879459,0,33040,25099.1586716,5712,33040,32245.9396064,0,4,52,11,2,specjbb,stream,100,10,72699.91,37059307.0538121,9160087.304739999,6365.94330236,15576710.3366,9394551.96701,121402.038645,0.0798510802642,0.0533227081936,,1009.10291972,7520.08068809,149.784154285,70.84676449034545,97.6828000512,0.1297773275548387,153.891743699,0.0231094148745,0.0326035250914,32.6665785812,60990.21559396702,54.6937500344,67.3396547964,25.7687838591,70.3816385319,57407556442.66054,672041075.4334543,292640347.1537188,158572001310.3513,847.0051127787656,86.38040348953949
rdt4_521121specjbbstream100100.sh,32704,9385.73742331,4256,2275.7,741.996687117,0,33936,28607.9607362,5040,33936,52359.171411,0,4,52,11,2,specjbb,stream,100,100,32903.71,16609743.25780397,3459619.15976,2596.48288562,5179648.59865,4491329.2322,60792.9728329,0.06857393908630001,0.04833794006950001,,302.509507878,9021.22618036,182.91596791,72.18447901836717,98.2936738632,82.80362599156594,195.457148413,0.146401828359,0.115807842783,37.0725914739,93153.98070410755,54.5277085838,53.12776177550001,36.0680130711,73.0118195447,239463440371.1816,1040423574.894903,446480197.4058998,211995441736.1643,749.1074831754663,238.5033276585744
rdt4_521121specjbbstream10020.sh,33040,10448.8845209,3920,1951,1044.95085995,0,34496,27430.64373459999,4816,34496,47233.0761671,0,4,52,11,2,specjbb,stream,100,20,52793.86,25839316.71491448,5908818.60035,3067.61110642,9627633.86929,7418244.8278,82491.22459580001,0.0756656165597,0.0517766049377,,471.946338,8604.73425347,165.358233641,73.45745117868861,98.1500949956,2.699229200678137,192.021554941,0.0720824737147,0.0700540246975,36.1588012821,87564.94621458072,53.8890715592,58.2706731992,28.3581202985,74.6502131307,193424255749.7195,963037858.9878432,419391324.3598944,216874042440.9492,848.7279395055377,203.6361189927732
rdt4_521121specjbbstream10030.sh,32704,9447.16564417,4256,2504,873.7938650310001,0,33936,28406.3607362,5488,33936,51371.06257669999,0,4,52,11,2,specjbb,stream,100,30,40149.12,19792675.3600455,4352238.99361,3242.94901359,6927440.1698,5486173.32643,75426.0905283,0.0720459656799,0.0497730858721,,321.894685761,8204.31051342,155.487379031,68.35210459935253,98.3042705013,41.63461251999372,189.641195452,0.108964643432,0.09487130188439999,36.1024058657,92515.32956789812,53.58583347859999,55.714950546,34.6052363319,68.9132175983,238393767464.8099,1034783772.535508,439440860.991584,215396422658.9131,765.0203853998516,236.8484421165536
rdt4_521121specjbbstream10040.sh,32816,9377.17936118,3360,2110.9,803.1217444719999,0,34384,28562.3390663,5600,34384,52824.6934889,0,4,52,11,2,specjbb,stream,100,40,36309.36,17985105.13003993,3835815.64858,3396.31111998,5904270.36785,4949688.97767,69975.5763521,0.07053207491560001,0.04884474976149999,,314.864752478,8624.44429028,159.355412668,70.231021082553,98.30408831940001,64.36541080273054,164.469081887,0.129158052893,0.105864059235,36.8507092984,94315.47152841832,53.65660132390001,53.9438603993,36.3698329014,71.01684336390001,252027454883.0241,1061176442.955574,454770931.2071242,215062274377.5901,755.9649857697354,248.7600099414325
rdt4_521121specjbbstream10050.sh,33488,9506.37837838,3808,2119.5,795.6337837839999,0,34496,28528.4914005,5152,34496,52389.6503686,0,4,52,11,2,specjbb,stream,100,50,37179.33,18267628.16480818,3968326.91587,2740.98019011,6107151.651000001,5113948.185959999,63504.816443,0.0700315891877,0.04894404574580001,,313.670275394,9061.91973578,161.84928974,69.87979344308846,98.31247103930001,72.43662467535817,178.149145674,0.120033708237,0.100274318148,37.0153751762,93411.20877827908,53.8580557431,54.46151172020001,36.8441144631,70.6894347108,243168573723.1801,1048805033.249261,449540245.2613721,213370783409.9005,753.8832988181126,241.6705325580097
rdt4_521131specjbbstream10010.sh,34832,12684.5166052,4480,2560.5,1333.38167282,0,33264,25237.0578106,3360,33264,32063.9307503,0,4,52,11,3,specjbb,stream,100,10,74004.05,39577817.90652902,9398825.75607,6331.45092977,15909831.973,9907870.07386,122791.989829,0.0803623032369,0.05277226296180001,,495.928908791,7948.51878116,178.667866577,71.84435392977309,97.27779386899999,0.1246089053343399,254.884742753,0.0210434707805,0.0328517862731,33.5756058523,60965.82873950974,55.3447626427,67.888140409,25.7269253957,71.4558787595,57171641348.00957,668855197.5431535,293275291.4513094,158389714213.1678,842.7447512572894,86.26849109896963
rdt4_521131specjbbstream100100.sh,29680,8921.1990172,4144,1807.3,823.8479115480001,0,34160,29118.0737101,7728,34160,52997.9208845,0,4,52,11,3,specjbb,stream,100,100,33407.84,17009389.99062558,3246380.34493,1625.00890746,4944093.68185,4971339.34968,57688.80375599999,0.06987822837119999,0.04850052109899999,,249.182812004,8161.15102322,166.291374131,72.31497693447453,98.2115722093,82.66783056681146,215.249846638,0.145696068352,0.113082981445,39.9770504924,94522.75084450805,52.83532153220001,48.7801458941,35.9374583211,73.3978987552,252492480684.3667,1057710235.623152,452345217.7808303,213645055992.5341,747.957360524884,247.6074228115983
