,hp_instance,lp_instance,hp_llc,lp_llc,hp_workload,lp_workload,hp_mba,lp_mba,score,socket_IDI_MISC.WB_UPGRADE,hp_core_MEM_LOAD_RETIRED.L3_HIT,hp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT,hp_core_IDI_MISC.WB_UPGRADE,hp_core_IDI_MISC.WB_DOWNGRADE,hp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM,lp_core_metric_L2 misses trigger SFBINV exclusive forward line,lp_core_metric_L2 misses trigger SFBINV mod line,hp_core_xnps_hit_to_miss,hp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS,lp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM,lp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT,system_metric_L3_hit_rate_pct,lp_core_metric_L2 % of L2 evictions that are NOT allocated into L3,system_metric_CHA % cyles Fast asserted,lp_core_MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS,hp_core_metric_L2 misses trigger SFBINV exclusive forward line,hp_core_metric_L2 misses trigger SFBINV mod line,hp_core_metric_L2 % of L2 evictions that are NOT allocated into L3,system_metric_memory bandwidth total (MB/sec),hp_core_metric_L2_hit_rate_pct,hp_core_metric_L3_hit_rate_pct,lp_core_metric_L2_hit_rate_pct,lp_core_metric_L3_hit_rate_pct,system_UNC_M_RPQ_OCCUPANCY,system_UNC_M_RPQ_INSERTS,system_UNC_M_WPQ_INSERTS,system_UNC_M_WPQ_OCCUPANCY,system_metric_memory WPQ write latency (ns),system_metric_memory RPQ read latency (cycle)
rdt_32_24_11_1_1_specjbb2015_stream_100_40.sh,32,24,11,1,specjbb2015,stream,100,40,4900,15662055.48249714,896895.636962,8447.19548164,722880.3170050001,2326208.01933,165207.088705,0.00172623419967,0.00186832688846,,4154.97392039,9460.51373915,171.924915813,78.5110463373138,98.45195221540001,14.94764372920689,323.916642108,0.04781752979719999,0.0502528241896,66.5625200508,87043.94451197838,65.58692507159999,56.7951992471,40.7406378935,75.6982460111,178284113300.4213,967906458.3227472,413102833.1763393,210236204239.5323,825.8478904032531,189.0727677200835
rdt_32_24_11_1_1_specjbb2015_stream_100_50.sh,32,24,11,1,specjbb2015,stream,100,50,5000,13985859.6084943,761449.425387,7714.30773557,647979.125395,2328764.94536,149939.117388,0.00151508955321,0.00152483005038,,3427.27539261,5239.84306793,117.205954902,72.8405509534474,98.54961174719999,17.17494359854534,334.061386296,0.026759728656,0.0415236537707,69.5189728509,90436.26337527117,66.2582954793,54.08939818,45.1865603188,69.23552260609999,204910195560.0885,1012695265.043346,429850221.369836,210768289862.9991,782.0630395462662,207.8473310374023
rdt_32_24_11_2_1_specjbb2015_stream_100_10.sh,32,24,11,2,specjbb2015,stream,100,10,3700,18769716.66487905,1120180.52683,9380.23590074,944312.879218,1997325.42409,290069.868122,0.00189530770008,0.00179124770065,,4605.26107226,11746.2911339,239.749248456,78.68876987747008,97.37200610149999,0.0006572230534114041,291.608580785,0.05272185933619999,0.0503903770797,58.1328706842,41890.88435085259,67.62428585229999,61.92448088800001,25.1997252577,69.99615381,23567005172.77549,429936951.8933706,199021011.9340988,55968608665.58759,610.6972356662708,55.47817423754994
rdt_32_24_11_2_1_specjbb2015_stream_100_100.sh,32,24,11,2,specjbb2015,stream,100,100,5100,14529869.39813515,684756.899599,7860.116897499999,565899.658283,2243850.70071,207317.708648,0.0021462214954,0.00207782199792,,2242.57078409,5285.31090347,120.008967494,76.50410360871084,98.4588770027,46.23195551623829,314.078090872,0.04457782344880001,0.07471099088010001,69.4463200574,94921.3262423719,62.2827051047,47.0307797318,48.2880856794,75.1463885782,250279730244.9833,1072817584.200739,474112896.2122142,216523635094.217,741.0851436176395,248.3127454621021
rdt_32_24_11_2_1_specjbb2015_stream_100_20.sh,32,24,11,2,specjbb2015,stream,100,20,3700,18617246.7918932,1008725.04939,16002.6784884,930606.5072290001,2231092.5994,304010.184782,0.00270843583439,0.00232544950826,,4283.72499625,5352.65395893,145.492306323,73.98467644934428,98.0330468981,0.007945961867006487,408.361929146,0.0430782361493,0.0603593134761,61.4570290661,61110.56256616165,64.3902317836,61.2369067824,27.4419463805,70.7725018586,39547501062.12582,584252097.4583014,248881546.941766,95448900203.4693,580.2695091958739,68.22483708889608
rdt_32_24_11_2_1_specjbb2015_stream_100_30.sh,32,24,11,2,specjbb2015,stream,100,30,3900,18302575.07901087,1030611.06373,7365.29520931,939872.140208,1882887.87852,203430.006659,0.00222106903593,0.00198235804838,,3099.35155857,5099.0056054,127.281581359,64.18921305531885,98.52205485549999,0.234575161434683,335.746607986,0.0329075085509,0.0544760144285,57.1161446372,74044.17399849325,66.0027547378,58.8022785845,38.0145456573,40.7653264233,122456323263.8031,841268404.938304,373804059.2776849,199870854266.1332,879.0530545483646,144.9457600657559
rdt_32_24_11_2_1_specjbb2015_stream_100_40.sh,32,24,11,2,specjbb2015,stream,100,40,4500,15387559.90098681,862526.823139,7681.366070100001,618441.004887,2348630.16808,186314.303267,0.00232699831197,0.00228364089798,,4613.16791581,5164.20032299,143.07877431,79.465160949193,98.40689254,15.10213454627412,349.310358499,0.0444680811354,0.0766522019738,68.5134303168,93357.31544668725,66.21580756520001,53.097463442,40.1718619294,77.4098382634,240056802693.874,1018570532.584176,468093890.1408259,218654752179.9096,828.1332350902627,237.7182778790083
rdt_32_24_11_2_1_specjbb2015_stream_100_50.sh,32,24,11,2,specjbb2015,stream,100,50,4800,15003634.06689666,847472.7490729999,8873.44111092,614590.813823,1809850.18756,215217.212976,0.001850445951,0.00179464447454,,4693.75286088,5441.41780539,135.429024955,74.05114685059047,98.4751503794,25.04540287400143,337.515155119,0.0888442187005,0.09021065765789998,62.987092898,93551.1641910458,67.1281972096,54.0874149568,44.7762378292,72.0327948888,239125740494.6356,1053111457.084678,460350634.1159144,217271725097.3918,774.5385235513206,237.1446769527976
rdt_32_24_11_3_1_specjbb2015_stream_100_10.sh,32,24,11,3,specjbb2015,stream,100,10,3700,19879183.10984835,960811.1290370001,8555.59809422,952573.202924,2084377.82471,206319.226623,0.00352591996955,0.0026393401822,,4372.87244177,4795.16742215,168.702567853,76.16316281817734,97.1738309063,0.0004261473615085406,321.197625432,0.0433889039507,0.0595766028771,58.50694168729999,38856.2740666014,60.7188248508,61.0109287177,24.602528988,70.7419849083,21643652391.0263,394838806.3915793,177686871.175056,46185110961.06345,493.2666038643036,54.07717587849191
rdt_32_24_11_3_1_specjbb2015_stream_100_100.sh,32,24,11,3,specjbb2015,stream,100,100,5100,14583985.62772067,753158.427089,8514.74220693,532231.7817619999,2092775.66707,240064.365746,0.00186496389455,0.00188583337366,,4120.63046424,7768.03195906,125.255402997,77.720295613394,98.403884171,43.6160196091667,341.843452504,0.058702992156,0.0668395109577,68.834901404,94079.2611286998,66.1692425643,50.5875685367,48.1273291184,75.2998219441,244489254367.7916,1059363865.954707,463801023.4920051,215250942742.7177,752.275581560206,242.4887985873428
rdt_32_24_11_3_1_specjbb2015_stream_100_20.sh,32,24,11,3,specjbb2015,stream,100,20,3700,21543501.29366767,1028655.10841,8820.9210683,1018676.69411,2097899.46759,227121.898852,0.00225657950027,0.00195947159974,,5253.15151001,4197.80751747,146.403173251,75.52838269812095,97.5764355523,0.0008868123084294082,425.537282958,0.09545630906639999,0.107388363094,57.437852321,50402.14853590458,65.7620289761,60.0844621878,27.2559961856,71.6079474476,34578995204.82893,540157716.042515,249673479.9884875,83054457578.6701,567.6542922412792,62.90933929640965
rdt_32_24_11_3_1_specjbb2015_stream_100_30.sh,32,24,11,3,specjbb2015,stream,100,30,3900,17635472.14838362,917947.9814950001,7245.9768616,818536.740088,2205353.60128,166660.010776,0.00239117107858,0.00198248328454,,3089.56596557,4965.02265886,141.30005919,61.09334602829255,98.307424199,0.2067424216220571,304.135416916,0.0293884026154,0.0536465595709,63.4978919876,78583.86446905308,63.725703868,54.1350525933,38.2722184938,41.1278096399,121655402582.0341,841076534.3086326,362445679.2927799,204915887101.1603,866.1547801042566,146.8155607679636
rdt_32_24_11_3_1_specjbb2015_stream_100_40.sh,32,24,11,3,specjbb2015,stream,100,40,4600,16107061.97601316,843898.298858,6886.69670597,622353.307449,2351896.70674,183356.670497,0.00209284034534,0.00207878165716,,2984.62520156,5885.30299538,153.013229552,79.07537642186864,98.33784205190001,11.67623147881131,373.496586395,0.04525600999649999,0.0609213471722,67.400641433,92927.91673378977,65.3700617625,50.5424420227,40.2302866039,77.8145166178,233704156689.0037,1019000055.537879,449667717.2370163,217965830241.9922,824.9088418667592,233.787392196966
rdt_32_24_11_3_1_specjbb2015_stream_100_50.sh,32,24,11,3,specjbb2015,stream,100,50,4800,13560604.35261047,723853.948333,10166.60405,503230.999933,2466510.38581,204521.848855,0.00226661224848,0.00210130430938,,3624.79004689,12266.8437452,142.416822443,73.61641078981461,98.44870026870001,24.88980494527598,352.873353998,0.04009072982,0.07497269703939999,73.7380405464,93844.31481525539,66.2016617655,49.919587737,44.7712091523,72.4318713327,246293395145.6873,1045746420.6041,466513511.1751682,218112901378.7928,778.3080531688994,244.2901141049646
rdt_32_24_11_4_1_specjbb2015_stream_100_10.sh,32,24,11,4,specjbb2015,stream,100,10,3700,18599948.84712882,1151810.87348,10108.6653544,844554.243411,2151331.03679,241747.807875,0.00269265997612,0.0022463382819,,5141.65764617,3965.60698909,151.595727995,75.67910919201105,97.105976931,0.0007953513565980581,296.451681615,0.0599277883504,0.0652630431884,61.9199114812,42509.61910786675,66.44446713090001,62.8162050092,24.6691226385,70.8143576897,28759158860.4018,485361671.1917002,223849173.8948333,62492567227.91876,532.6602423122797,58.85712481358839
rdt_32_24_11_4_1_specjbb2015_stream_100_100.sh,32,24,11,4,specjbb2015,stream,100,100,5100,14336686.91645969,716071.2904310001,7529.88847135,472902.585126,2156177.58344,196629.183973,0.00221459493694,0.00214147919222,,3729.50234296,4560.10694384,122.232509916,77.20063831813869,98.3393312476,41.70919312977907,393.140289055,0.06276071347659999,0.0595524060895,71.5573319144,94645.2714889321,67.8207135729,45.8162239852,47.6621112221,75.4140224191,248385808408.0516,1069742314.788086,474953147.7536404,216882228695.5325,750.8340158128806,245.5308187478163
